length,error_rate,strategy,samples,mean_share,standard_error,ci95_low,ci95_high,first30_mean_share
1,0.0,Random,1000,0.0,0.0,0,0.0,0.0
1,0.0,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.0,Cheater,1000,0.4186388888888887,0.0033989981198999353,0.41197685257388483,0.4253009252038926,0.3925925925925925
1,0.0,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.0,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.0,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.0,NegtiveCopycat,1000,0.21452777777777815,0.002172425997011234,0.21026982282363613,0.21878573273192017,0.2037037037037037
1,0.0,NegtiveCopykitten,1000,0.3668333333333332,0.0032242614520683714,0.36051378088727914,0.3731528857793872,0.4037037037037036
1,0.0,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.025,Random,1000,0.0,0.0,0,0.0,0.0
1,0.025,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.025,Cheater,1000,0.41302777777777805,0.003219979616658252,0.40671661772912787,0.4193389378264282,0.4194444444444444
1,0.025,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.025,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.025,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.025,NegtiveCopycat,1000,0.21977777777777807,0.0022251149007425836,0.21541655257232262,0.22413900298323353,0.23981481481481484
1,0.025,NegtiveCopykitten,1000,0.3671944444444444,0.0032435445947802924,0.360837097038675,0.37355179185021375,0.3407407407407408
1,0.025,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.05,Random,1000,0.0,0.0,0,0.0,0.0
1,0.05,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.05,Cheater,1000,0.40986111111111057,0.0033001929061286924,0.4033927330150983,0.4163294892071228,0.3944444444444445
1,0.05,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.05,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.05,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.05,NegtiveCopycat,1000,0.22211111111111156,0.0022464863725403803,0.21770799782093242,0.2265142244012907,0.20833333333333337
1,0.05,NegtiveCopykitten,1000,0.368027777777778,0.0031739748825134776,0.3618067870080516,0.37424876854750444,0.39722222222222214
1,0.05,Grudger,1000,0.0,0.0,0,0.0,0.0
1,0.075,Random,1000,0.0,0.0,0,0.0,0.0
1,0.075,Cooperator,1000,0.0,0.0,0,0.0,0.0
1,0.075,Cheater,1000,0.4091111111111114,0.0033345398772889516,0.4025754129516251,0.4156468092705978,0.3972222222222222
1,0.075,Copycat,1000,0.0,0.0,0,0.0,0.0
1,0.075,Copykitten,1000,0.0,0.0,0,0.0,0.0
1,0.075,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
1,0.075,NegtiveCopycat,1000,0.22536111111111157,0.002275225524695351,0.22090166908270867,0.22982055313951447,0.23240740740740742
1,0.075,NegtiveCopykitten,1000,0.36552777777777806,0.0032331312301129025,0.35919084056675676,0.37186471498879936,0.37037037037037035
